Vehicle_ID,Distance_Traveled,Battery_Capacity,Processing_Capability,Available_Storage,Number_of_Other_Tasks,Network_Latency,Number_of_Transactions,Block_Size
#00024,780.7486471,4601.988839,1.018285111,462.506786,19,32.56421938,237.7274471,5.684309785
#00025,119.1561514,3500.716793,1.514430821,694.1923968,11,135.5306427,4432.6293,7.853101065
#00026,640.2811003,4773.368522,1.490743394,136.801981,3,45.49909445,4340.149399,8.681128913
#00027,144.2099341,4467.065151,1.762042872,942.5491352,2,110.0254939,3726.974001,8.422123107
#00028,944.7242481,3328.940092,1.848076651,668.6346793,17,121.142165,201.6935705,4.875022684
#00029,522.3264734,2266.135312,1.535061113,359.7192804,15,103.5826703,3600.928174,2.410419102
#00030,415.2472781,2090.592365,1.225292493,198.0929508,0,18.76124491,2763.332217,6.609490537
#00031,265.2910565,4622.69243,1.277359147,329.1031895,16,98.34879435,3395.705331,5.610120242
#00032,774.4594557,3422.854752,2.376404329,691.398079,5,100.5126833,4468.356936,3.070136102
#00033,456.6941819,3991.084724,2.911779452,727.5752196,7,150.6213265,3643.591447,3.261747301
#00034,568.8655149,4644.945243,1.689708725,764.4799097,9,156.2802622,3522.526544,1.642495465
#00035,19.77101064,2913.976974,1.285572782,886.3562629,6,30.71230495,1093.709119,6.269863307
#00036,618.0178616,4687.289055,1.520115605,607.7853844,5,151.6601149,2171.964989,8.165126507
#00037,612.483627,2082.597318,1.304350105,351.7551969,5,27.62186031,3166.02167,7.041037563
#00038,617.3170629,2839.777036,1.389479313,997.4492687,14,148.3989231,4142.858682,2.301062566
#00039,943.8043304,4435.299185,2.324321023,229.4915431,3,162.794928,1626.659283,3.363562129
#00040,682.1384788,4559.660955,1.769854651,391.2078197,1,174.561597,662.8074164,2.535490301
#00041,360.1483927,4834.506186,1.500908572,767.2718286,3,109.8103639,3246.539729,9.66029239
#00042,437.5949218,2909.033817,2.162315824,670.6494156,14,136.7519377,1019.820763,8.542335482
#00043,697.9335647,4340.706757,2.795647894,615.3027267,11,192.3193526,190.6849392,1.83818627
#00044,61.16524616,4955.390908,1.048858028,230.5653082,5,34.0083727,4003.111156,2.604448358
#00045,667.0999487,3581.018045,2.193437548,1005.521959,18,89.35823217,2054.388009,9.694104924
#00046,670.9672317,2757.788869,2.343991984,260.4645947,17,141.7189895,614.6027076,9.017523974
#00047,211.1721785,2116.886946,1.866338148,423.8992646,4,54.03759207,1420.650237,1.691956411
#00048,129.7973714,4278.959188,2.840703495,469.9902855,0,187.6927961,3569.451187,5.626960335
#00049,316.1129226,2416.536153,1.340374357,338.2081126,7,100.6422452,1116.705536,1.597983652
#00050,364.3470602,3160.827819,1.023171621,388.4034756,19,138.9258414,2622.91727,5.22721107
#00051,570.6265736,2927.833645,2.680586972,754.0665774,4,181.9367497,2028.518954,2.16925118
#00052,439.1629119,3250.552019,1.791555301,816.5610498,19,179.0943068,1887.571415,8.381247797
#00053,988.3854642,4717.996985,2.659798118,654.2868806,12,63.06036428,3199.996469,1.824846281
#00054,102.9427659,3277.843284,2.990740702,900.9315851,10,57.85282067,4642.074648,8.431657151
#00055,209.6678793,4738.232938,1.230173463,768.8170499,12,69.19752155,2770.230721,5.042178588
#00056,162.1482084,4416.202579,2.665091598,542.529067,8,192.3618397,2022.380112,5.22649796
#00057,653.4552171,2865.134996,2.521025351,665.5389563,15,24.36796301,1064.764563,1.073681066
#00058,254.0383109,2954.267057,2.55310965,524.1098877,8,119.3454825,2068.249696,2.655313317
#00059,466.8444621,3109.532674,1.879004356,979.7301271,15,32.19404067,3256.447633,9.993438335
#00060,245.1811664,3816.941575,2.218214625,570.3349803,6,105.570097,181.7403687,9.791687784
#00061,159.8106141,4022.187551,1.495284072,180.090038,16,55.32497643,3273.9786,7.150591658
#00062,111.264766,4916.689507,1.063300463,158.7448593,19,25.54643167,4302.230553,6.281707564
#00063,656.6732599,4779.54819,2.455545929,508.1908286,4,124.0097144,3938.575879,8.0003956
#00064,139.0447684,3835.615164,1.27766608,195.9332583,9,166.1117875,4795.626338,8.063903411
#00065,197.3857793,2138.716338,1.599279061,918.0189806,10,38.44064604,3373.528904,8.017880616
#00066,369.3564455,3635.922861,1.107045538,968.3918335,4,158.1013046,2474.938267,2.501231866
#00067,821.1722366,3210.920664,2.131505822,239.8088838,9,59.87187266,3780.76958,7.199863346
#00068,98.00417452,3634.336176,2.714470513,596.8360432,10,119.869815,4349.408336,3.103444522
#00069,838.1069626,2120.52912,1.145725941,428.7493711,4,121.342031,4060.847094,3.516668934
#00070,97.00230949,4987.286622,1.784264617,912.028979,3,99.33193002,4991.591415,9.66028681
#00071,976.4830055,2170.875111,2.665119344,163.2061108,19,188.4121156,1391.537222,6.583646454
#00072,469.1825504,2818.039803,2.549306595,992.9083238,14,92.64322144,2892.796042,4.321369402
#00073,976.7843271,2216.372087,1.427384461,897.0141469,16,60.66052965,4233.73033,5.859927311
#00074,605.2406742,3642.833318,1.502018745,206.9200174,12,159.2497172,4922.223607,6.723520445
#00075,739.5243158,3055.45489,2.262996032,891.2796576,14,130.5170102,3263.572623,6.77448151
#00076,40.14860446,3125.899529,1.478265654,743.6214425,10,131.5513532,2136.830979,8.054888336
#00077,283.5241556,4367.502563,1.686272411,353.2453254,17,141.3253337,2974.187187,6.101201346
#00078,121.0763647,4712.060347,2.561970915,661.5925819,4,178.7460669,4870.904846,2.566658392
#00079,296.8440573,2497.090949,2.23327808,339.6927555,10,42.54842596,4182.152229,5.067837011
#00080,119.6089912,2836.93082,1.213444549,342.7036672,4,73.84946589,4660.55356,5.180169226
#00081,318.6651962,3418.185861,1.770195025,775.3944827,13,133.9043296,4813.842126,8.350623768
#00082,414.8487315,2338.64501,1.395925382,333.5409809,13,135.197463,2997.758431,6.319694024
#00083,65.08334885,3159.614246,2.090941143,506.9128305,13,149.3556456,4836.674331,9.301899016
#00084,692.7796473,2906.264137,2.897765958,1020.16849,7,154.7409728,2949.312765,5.810989646
#00085,567.0348528,4765.929011,1.998133466,1000.693505,15,127.2914783,1507.892594,8.360678225
#00086,266.1241014,2595.602361,2.669636124,719.8623121,3,30.4005903,1995.425502,6.789633364
#00087,523.7248054,4163.634194,2.358824584,698.2407407,3,94.21242465,2864.400285,9.917138745
#00088,94.84657025,2647.679626,1.921767635,325.7343201,2,158.4747337,4008.439032,7.371349902
#00089,576.3705491,3876.975136,2.828407941,246.7371305,3,48.46859504,1738.086508,8.201735187
#00090,929.3669014,3745.972184,2.945595179,185.7483953,18,39.29707899,2389.134822,2.416283618
#00091,319.2503835,3376.172878,2.8938098,420.9380234,6,25.25534826,1496.677446,1.639639233
#00092,667.7429696,4450.721907,2.757037448,433.5734148,16,36.6472497,822.518353,8.526839714
#00093,132.6660645,2668.151583,2.480960468,570.0877542,17,139.7766851,909.5497504,4.545701343
#00094,716.6108769,3431.840672,2.83419252,379.2957008,10,149.0986957,809.4250597,2.936662082
#00095,290.1166869,4947.252804,1.387970697,604.3087532,14,30.74290964,2067.487618,6.678334381
#00096,184.0081706,2549.785368,2.74420931,342.7037005,10,99.47743383,138.8771913,5.789213695
#00097,586.9264219,3636.297365,2.001342841,286.1399885,10,138.4266943,2525.936575,2.715064036
#00098,21.08743864,2879.31735,1.290654406,484.7713117,7,186.8987984,4922.001132,9.82490373
#00099,829.1110892,2371.418179,1.986499351,990.3243901,2,10.97456304,1293.081908,7.965195122
#00100,5.690780716,4554.778943,1.077638297,333.0851808,15,99.86247819,1630.661644,4.12709356
#00101,678.1387203,3733.036525,2.812693987,903.419878,5,21.43216193,2730.781231,6.24713533
#00102,270.7379652,3736.487791,1.517246658,552.6806354,15,101.4326238,4836.905498,3.967440991
#00103,735.4588281,3636.004212,1.533958966,908.7985323,12,148.7883975,4439.654832,6.989403276
#00104,962.2263566,2553.40432,1.887438078,792.1492844,11,90.43506428,1667.701051,8.990438777
#00105,249.5043904,3705.899497,1.378299739,170.9551845,3,166.1831489,872.0683501,3.714786239
#00106,576.5811771,2274.167043,2.852835699,998.7840977,6,128.3519608,2144.966826,2.261585104
#00107,592.4498893,4047.925611,2.379198528,177.381606,4,167.6095298,983.7982761,1.730179093
#00108,572.6796539,2154.371504,2.357689652,776.4716556,12,109.8140003,3961.727454,2.174238212
#00109,223.858551,2567.453351,2.833684521,863.6147991,11,138.6036185,4718.139217,3.637005337
#00110,952.7962625,2882.653391,1.264345204,367.0156109,8,10.63805982,906.8040941,2.030739534
#00111,447.6782532,2836.793653,1.520530004,279.8104006,5,67.37252116,4025.46111,3.869577258
#00112,846.5622638,4436.306867,2.33311166,694.4275238,4,183.2747259,3400.83399,6.36715609
#00113,699.779796,2863.251934,2.376385537,997.9649706,1,147.3878442,2484.677594,9.112496947
#00114,298.1395139,2221.873706,2.667393717,887.3437211,17,168.7665423,671.7750897,6.175782758
#00115,813.9840219,2203.948081,2.455266423,185.7785588,14,197.8535395,4598.296712,9.930839634
#00116,397.1092351,2448.240558,1.083118043,906.6079359,3,161.1594652,2699.535782,6.135219462
#00117,881.2220939,3182.575701,2.247163234,436.9918217,0,170.1018449,3093.873152,9.045199837
#00118,581.6915998,2590.442701,2.570569915,869.2111042,9,153.8231348,2167.299316,5.87551195
#00119,881.8536265,2705.067078,2.737158932,143.6286235,12,107.1512683,2209.223852,5.177062782
#00120,692.8390585,2551.926966,2.743602287,665.9409264,9,91.20284574,4026.923139,7.318689117
#00121,725.5290255,2896.206192,1.388055557,624.2352836,7,95.04461285,818.9303663,4.878087067
#00122,501.8230575,3514.576186,1.489917511,136.8904568,13,79.43967913,4023.953307,5.732536518
#00123,956.1275511,4914.041215,2.206379509,619.3993354,5,57.25332981,1140.48418,4.550637439
#00124,644.346209,4375.971326,1.933276276,339.128155,6,134.3840004,697.1277417,8.413017641
#00125,424.4311935,2517.56211,1.71944277,132.5933609,4,44.20891065,37.63407864,3.053945955
#00126,606.7868209,4408.552071,2.930534913,620.6337074,15,95.90270561,3931.081686,3.695850259
#00127,20.17400511,4130.27909,1.429440153,436.3322388,16,193.6278568,305.5806368,3.852859498
#00128,302.2732419,4717.39523,2.702169948,832.3374951,13,86.02955665,4464.774236,2.694127593
#00129,660.513364,3304.120201,2.210787506,867.7378786,14,70.55882308,3125.870409,6.964695646
#00130,290.7875296,4601.296048,2.390795051,199.3944918,10,137.1001874,3991.745926,4.16641382
#00131,618.3974136,4094.270758,2.547744952,503.5336622,13,177.9103387,1349.84119,1.705513279
#00132,429.3399322,2819.277728,1.942293936,503.2745264,19,90.28014175,1528.038175,8.558429922
#00133,136.3385902,3169.328445,2.949013256,320.0791069,14,122.4281656,885.5073513,3.071385417
#00134,298.9840436,4515.435769,1.960835241,656.4549602,5,119.6321764,2806.72926,9.5707979
#00135,570.3949458,4423.136839,1.565287773,764.5116949,18,127.302914,1399.78031,5.392804782
#00136,591.2818885,2736.517918,2.81243571,205.7961064,17,148.3524748,1945.155359,9.313636834
#00137,574.7509236,4508.821672,1.966022271,579.4890638,0,22.75931326,1972.489215,6.083166471
#00138,653.547619,4837.271216,2.856976237,548.5283979,15,91.26550006,838.2649181,2.241867457
#00139,652.4511667,4633.308376,2.061984946,401.1994954,14,53.57073493,2811.672801,5.896027553
#00140,431.987017,3143.864083,1.4530579,380.5675726,14,11.09533881,2495.50879,5.364147081
#00141,896.6500493,3623.485387,1.687809119,443.219121,0,196.4567657,604.2649396,9.325549836
#00142,368.1943082,4537.881927,2.964166685,567.3240748,14,88.47985638,4060.905067,2.985606485
#00143,436.4290603,4149.201283,1.420123346,373.9077957,12,96.27410641,4621.296919,6.012208368
#00144,892.0314317,4127.31482,1.724903079,610.8164803,0,174.9119381,3774.010124,6.078264967
#00145,806.3877951,2855.754383,1.576866027,808.0800346,13,127.3505472,4312.095812,9.832431571
#00146,704.184695,3832.40567,2.431997862,483.6407479,7,192.2226263,3851.655011,6.291631536
#00147,101.1266604,2163.383347,1.463425991,239.5850384,14,139.2255524,1462.179816,6.749663915
#00148,919.5631311,2891.442199,2.663493862,713.0136534,2,93.97680584,1357.180746,2.741056633
#00149,714.5270582,2608.366599,2.917203424,764.7390627,3,41.51662863,2112.23876,6.766958329
#00150,998.8481596,3161.043723,1.832982859,355.5637232,16,16.01582369,152.6262387,3.603521796
#00151,150.2988564,4214.688759,1.986836492,880.4819327,0,54.26790555,1074.357626,5.52924771
#00152,868.2579313,2781.623383,2.573524709,374.7441235,3,12.39595243,3381.018033,3.474733625
#00153,163.3304417,2536.745274,1.883004077,785.8583128,14,105.7370792,3947.732612,8.511322184
#00154,615.9440047,4526.107026,1.139076607,330.9568432,17,129.4725323,4220.027449,7.335696181
#00155,124.6961629,4745.293892,2.087394991,510.7724773,1,149.4250295,633.2707644,1.471180114
#00156,848.1602211,3338.649789,2.044391496,817.4085,17,59.14964068,3369.345472,9.075411034
#00157,807.5116398,2733.493316,1.838457066,365.3110364,16,167.5794814,2196.269969,7.483236498
#00158,569.5316379,2757.097705,1.578983909,793.1759921,2,11.5792591,1149.990618,6.546447131
#00159,407.7761139,3248.539663,1.488656302,457.8487297,6,182.4407622,4170.393955,2.514996259
#00160,70.09782846,4407.328813,2.070135774,1023.822225,18,122.6682445,9.675664442,4.370677985
#00161,697.7313444,3684.445043,1.3130448,354.3504259,7,88.63996833,4190.407214,1.957197018
#00162,454.08914,3732.007841,1.2593527,223.7584733,4,167.1751867,2412.5909,3.974368598
#00163,722.3335439,4934.471947,1.980961253,506.502769,5,145.5592408,2006.739812,5.845109057
#00164,866.5159436,2233.025591,1.733428978,773.2580705,10,54.25371939,992.5348188,2.977635133
#00165,975.5459835,3425.04018,2.563737689,984.1874612,17,159.6189603,2723.394102,3.94689293
#00166,855.9475391,3438.206885,1.783824529,725.675406,8,92.27299608,1757.133551,4.355750547
#00167,12.7023701,3661.921927,2.816270334,612.4138399,17,168.0556291,1565.81478,5.129418275
#00168,360.6180864,2503.820712,1.309054868,811.1957159,13,78.668696,3827.291396,5.205849861
#00169,730.2605719,2506.766445,2.825935611,668.3359876,16,82.42617507,3710.831926,5.181727911
#00170,172.4580476,3246.345683,1.350602655,739.5321212,12,130.7874117,2005.589518,6.263385327
#00171,521.5155696,3818.651769,1.46174258,626.1281695,17,51.54523223,3027.959606,6.585682501
#00172,55.28365035,2908.407575,1.429939209,376.8096974,8,60.84152534,1066.193587,7.434819366
#00173,200.7965284,3492.557612,2.567308351,805.3408824,5,73.03749942,1851.187463,5.94620404
#00174,19.50327267,4960.271823,1.839839655,536.2125707,6,103.887834,2809.584324,6.802861091
#00175,793.9040057,2091.293052,2.704608858,471.7519513,2,193.3420609,3875.037321,1.799578103
#00176,224.7007634,3397.601857,2.312110519,129.9272552,18,72.54509317,4906.545879,5.040913207
#00177,346.006329,3421.714092,1.215579764,443.1072696,9,57.59870268,854.86721,1.973831699
#00178,928.1532122,4075.419166,1.051434118,941.6478897,17,17.41177027,3320.7918,9.162513674
#00179,704.7099875,2799.200346,2.179554632,170.7676366,15,47.10968006,3457.203925,9.808582036
#00180,32.8070906,4399.802202,2.78821279,254.2731574,5,67.70502126,3011.035662,6.561280774
#00181,165.5294623,3202.98026,1.44704023,747.5751308,1,161.2260768,2883.778132,5.753916385
#00182,621.8569231,2285.487178,1.892208046,699.0775827,5,32.37594891,179.6032688,3.34355998
#00183,577.65136,3890.181497,1.089565703,679.0872952,17,47.03317486,4701.683104,2.505390972
#00184,238.6549286,2079.179433,1.966432577,619.0337454,7,136.2554479,3431.250119,3.091860218
#00185,934.2797839,4150.406581,2.599319722,671.9064219,3,105.4000396,1120.573535,1.416947632
#00186,614.35199,2036.420893,1.958669376,736.115203,17,151.2658577,2330.481159,2.778197163
#00187,536.0971702,3790.010607,1.867913432,596.7873343,2,35.40447371,88.49587296,5.323058232
#00188,590.3200664,4612.675938,1.488404853,691.0563699,10,116.0108743,911.5246431,5.765848224
#00189,730.3919075,4095.225282,2.069266054,139.0718878,12,73.55246198,1966.70098,9.946687474
#00190,312.6330505,3873.031264,2.680601023,554.2444513,4,173.4562448,697.261611,4.096889748
#00191,398.8228412,3295.373376,2.097035854,506.5279842,1,115.7586391,2696.581895,4.466484172
#00192,210.6339052,3008.586551,1.586519779,823.1449054,13,14.84946741,3818.906879,4.239749461
#00193,187.0068129,3110.886563,2.575258063,330.6027873,12,49.59597598,2497.732656,2.425847128
#00194,944.4280176,3125.07926,1.219528374,817.1964857,17,16.86713961,4845.812868,2.084962499
#00195,739.8112443,3589.650888,1.071355432,578.8051248,3,187.9059268,1222.797848,7.971794047
#00196,490.9683498,2429.990243,1.397394458,725.4638115,0,159.3055521,510.4625413,2.107660797
#00197,228.1872133,4645.645805,2.060988292,170.270645,10,138.9556044,1544.167378,1.544170859
#00198,255.1021253,3877.626633,1.593209525,859.1846028,19,184.3833357,1178.144451,2.213317008
#00199,58.97113116,3123.308683,2.365185264,619.5906152,19,40.20806392,1932.958007,5.610007132
#00200,434.9822089,4946.636492,2.683189497,653.4018413,1,136.6895153,2293.713849,6.3027641
#00201,312.4840861,4617.58261,1.635297737,312.1006868,19,141.4949733,4261.918043,8.465448883
#00202,696.6471453,3820.448569,2.503074339,885.9934466,10,159.7027533,4176.934474,3.699353764
#00203,378.3740875,3115.246455,1.487606824,375.9201997,13,119.1740675,2605.84003,7.765397958
#00204,180.4240739,3107.281568,2.643230883,875.9373363,14,139.7532958,3593.464919,8.278671417
#00205,25.65404966,2200.120179,2.847365827,942.206712,11,115.1967148,3988.523895,9.369531754
#00206,68.18238183,3027.562912,1.799803028,843.3541165,2,199.0163943,2101.398863,5.167109474
#00207,679.7133807,2737.052685,1.177352022,968.4634283,11,142.1608825,1293.361457,9.216504018
#00208,454.2431477,3825.653367,1.80854013,293.1619908,4,110.9805875,930.2041364,5.415578782
#00209,537.0426319,4160.490457,1.746080332,302.2643291,19,128.5353027,1707.386388,4.471549083
#00210,896.7746217,2877.274432,2.018883669,908.8788684,1,127.5074304,3906.318983,8.35289477
#00211,990.3486084,3638.442498,1.996215727,547.995975,7,72.55471104,4359.511987,5.846368581
#00212,217.6800874,4361.238929,2.749896534,240.797747,12,140.5991749,4159.1831,7.534456053
#00213,663.4151249,3925.711431,2.238856474,223.1725828,19,132.2305208,2735.041977,5.163192404
#00214,264.0590544,4230.983938,1.153879094,578.0195837,7,27.82479173,4756.671156,4.97680893
#00215,21.63034847,2654.239063,2.310917482,703.1854474,7,148.5367202,4504.273261,1.407559316
#00216,758.6202752,3905.149679,2.570885626,859.8899329,5,44.52036172,2799.912239,6.405405618
#00217,320.6971337,2821.352939,1.309648252,642.8057706,9,25.67518692,1856.102771,4.284306514
#00218,384.0804303,2692.251765,1.422889583,167.4033158,6,66.29079776,3702.914831,4.515660561
#00219,588.7287964,2812.811837,2.820076156,991.8005925,3,177.0525333,4478.720343,4.64561313
#00220,831.2174068,3099.576535,2.909032681,615.881687,1,75.58191944,2219.015513,7.295852783
#00221,629.3528617,3412.82125,1.191305774,325.6158494,0,187.1137613,4037.835891,4.105069202
#00222,872.7780048,2687.784328,2.853416877,470.9287307,5,107.3362122,718.7222264,9.136910406
#00223,274.2684928,3049.890486,2.998722142,453.4467858,8,60.83051382,4350.483123,8.333439348
#00224,798.2487871,4689.490145,1.933714519,627.7911523,18,69.62389315,4584.080555,9.871995298
#00225,186.4503084,2403.880723,2.659767561,874.3659021,17,24.17367821,4448.011638,1.322611315
#00226,952.8388653,2647.17218,1.387869176,983.2196667,16,45.91747703,3990.749653,9.571726677
#00227,687.8007881,2182.078079,1.956734706,245.3893678,16,199.3899271,4149.775537,7.439553688
#00228,216.2921694,4126.643389,1.222818004,524.1203545,18,42.77107336,1305.230764,6.877167201
#00229,947.4232199,3588.232141,2.398324551,454.1987836,5,36.82024444,4146.86607,8.138363535
#00230,731.124951,3422.961022,1.765863162,398.8431217,2,158.9022076,4534.545793,4.155845388
#00231,254.687701,2103.245527,1.292426333,746.8644854,13,192.2801172,1183.036713,5.471712825
#00232,214.0986654,4884.027997,1.443843956,548.023732,19,39.82090061,2127.086729,7.844006224
#00233,518.6825132,4532.232094,1.262401891,734.4641666,17,115.0586977,180.9334517,5.575880899
#00234,26.63705534,4461.122324,1.702568033,1011.580627,12,17.8848363,2620.025631,6.824861534
#00235,208.2626054,4625.652427,2.686986775,536.4950279,10,179.0686801,4023.193075,2.113619756
#00236,425.2607833,4331.075483,1.928431546,995.4092841,14,34.97947403,2158.688902,1.156028081
#00237,374.7958104,2418.312702,2.338232593,276.7001959,18,76.87985275,2173.534551,6.412196677
#00238,464.1118489,4914.477293,2.911187767,851.8399034,0,27.20558083,1643.045195,7.508066581
#00239,278.3510776,4801.155419,2.392627666,174.0643556,17,114.4331758,1206.967865,4.482255009
#00240,587.1975621,4088.231334,1.485648558,315.3722249,12,16.36974509,1184.038762,6.227327234
#00241,863.9917503,2876.03203,1.162286191,410.4086437,6,16.86098531,3734.753551,5.339260003
#00242,118.4143241,2003.333325,2.644779425,271.205743,14,148.7194172,2621.030758,8.072754636
#00243,517.861728,3457.585308,1.55849394,567.0537019,16,163.9438082,3390.5504,1.4504128
#00244,132.9360382,3784.410418,2.254109485,408.844316,0,20.03463654,2060.304787,5.438652512
#00245,717.1428215,4981.943969,2.835357626,671.1020941,8,112.5640524,4026.684438,9.178603953
#00246,396.6636431,2398.745111,2.052612788,363.5295816,1,32.74724242,2279.638344,7.202451481
#00247,565.8558905,2266.460292,2.030756874,224.2893372,8,30.44746363,3767.528818,7.380291121
#00248,184.0965564,3278.955314,1.765514008,296.5294802,14,174.5914858,1072.340262,1.03287492
#00249,145.7029116,4252.868667,1.976753179,575.5938417,8,108.3992214,433.1568597,2.769919894
#00250,488.5682244,3020.210989,2.353981055,194.2517829,4,14.00803939,1055.507268,2.09861202
#00251,356.2571251,3987.080758,2.239748857,459.5844571,2,107.3892952,3327.196032,4.88032665
#00252,940.4915133,4668.31516,2.738596819,580.5391288,4,163.1078083,3182.4503,3.277977837
#00253,765.5599286,4379.485973,2.979397405,716.5541072,16,135.198439,2124.179763,3.942292247
#00254,748.9149562,2304.787576,1.838509857,775.8187627,7,47.0990798,2817.987783,6.012774411
#00255,903.81602,3338.225981,2.960187334,753.694829,19,169.726114,3389.442379,3.38365978
#00256,84.33901301,2113.977963,2.329423156,1005.252383,17,95.23256191,2900.768864,2.450354386
#00257,552.6402775,2505.914973,2.481614187,237.8526142,6,166.3507528,2001.061369,2.380038653
#00258,584.8915929,4312.13308,1.788997397,708.1590632,1,47.36948404,857.6480324,7.501955692
#00259,961.9744422,2522.279396,2.424320686,285.3830603,2,12.60365044,2553.232373,3.035059612
#00260,292.8553793,3676.442148,2.664180653,889.4240619,7,118.0083793,2341.695226,2.397253398
#00261,241.5879511,3844.935459,2.202549526,553.359239,6,33.77524305,3200.443186,3.312613957
#00262,101.1936483,2469.909011,1.237625629,667.1346894,5,104.0713973,681.6238128,5.049590267
#00263,17.41319996,4744.466488,2.168456245,988.6984832,6,40.06169964,1581.788568,9.024549499
#00264,929.5997875,2175.505542,1.45446211,456.0562362,18,66.57974551,2177.571114,7.821721381
#00265,670.24663,4757.703774,1.833972141,647.7972509,13,177.6166026,2226.586332,5.50878886
#00266,785.3677591,2341.398161,1.897961742,344.1572549,1,107.6903218,2180.228438,2.305278559
#00267,282.4483756,4702.60995,2.409674822,569.1517282,15,45.18510435,1219.853923,5.875958949
#00268,586.823756,3103.672781,1.840933039,322.1149599,18,50.6228165,3064.744178,9.969658288
#00269,64.89131085,4369.522369,2.007862327,414.07819,10,10.78175572,2969.091,4.053465431
#00270,486.1419683,3182.712906,1.23398337,1000.278228,8,156.6563826,666.4299742,6.401984334
#00271,977.5176446,4199.469449,2.364144368,355.2793666,18,102.2574133,3612.629465,4.633379148
#00272,876.6287401,4557.172266,1.124671079,149.6796192,14,22.42737192,2507.2069,9.445992029
#00273,338.8207929,3576.316636,1.625238621,702.4145318,11,57.85760724,4906.657009,1.973839523
#00274,961.6085844,3206.418701,2.330155964,766.1742268,10,147.6730304,706.8418027,1.597181322
#00275,232.4699248,3183.89792,1.602490963,144.832474,10,25.64708451,3242.723773,3.498195926
#00276,949.3695036,2169.775289,1.015380986,608.1376628,1,160.6750438,1500.009112,4.013165544
#00277,941.436327,2044.447151,1.886728347,378.7840002,11,160.9012317,1294.17967,9.072733827
#00278,799.4033848,4230.710403,2.299540258,514.1175663,5,96.18897971,1326.06354,1.037597552
#00279,630.8174889,3246.19845,2.693465836,739.1997249,0,150.2497187,142.8035303,5.482886111
#00280,874.4136787,2453.278305,2.77900077,907.2789733,19,143.1283404,2911.242657,3.690314291
#00281,293.7272642,4614.610991,1.490459303,427.9846872,3,183.0320232,4947.007549,6.117273369
#00282,849.0946118,3913.315177,2.908571393,959.0238017,10,80.1242594,3989.832695,7.303796269
#00283,618.2588152,3423.513345,1.74430383,521.9679262,15,108.1472652,4140.733061,6.173808953
#00284,14.2236209,3070.95498,1.088221268,817.047474,5,37.86408096,950.860703,8.709597239
#00285,347.8862844,3034.238979,1.618191637,183.7326256,3,54.34850242,683.5147203,4.786631699
#00286,148.9927201,3114.260842,1.350107397,840.8910646,9,26.5316486,2216.364663,6.878130364
#00287,981.8475604,4659.663008,1.542889151,895.1392479,14,25.01982144,1882.48262,2.64668218
#00288,478.8919367,3135.812382,2.109639537,392.1484996,19,139.2092318,1115.79538,7.639748207
#00289,497.8939741,2057.949293,2.191050007,289.5441042,15,199.029062,3766.050384,4.679424314
